a90,"['EchoPlus', 'Samsung Phone8', 'Echo']"
a24,"['Samsung Phone8', 'Echo', 'Fitbit-5']"
a48,"['EchoPlus', 'Samsung Phone8', 'NewLock']"
a23,"['Samsung Phone9', 'Fitbit-5', 'Samsung Phone8']"
a63,"['Iphone7Plus', 'NewLock', 'Samsung Phone9']"
a75,"['Samsung Phone8', 'Echo', 'Fitbit-5']"
a30,"['Samsung Phone8', 'EchoPlus', 'Samsung Phone3']"
a57,"['Samsung Phone8', 'Fitbit-5', 'EchoPlus']"
a34,"['Samsung Phone8', 'Echo', 'IphoneXR']"
a66,"['Samsung Phone8', 'EchoPlus', 'NewLock']"
a77,"['Samsung Phone8', 'PortableCharger', 'IphoneXR']"
a15,"['Fitbit-5', 'Echo', 'Samsung Phone3']"
a92,"['Samsung Phone8', 'NewLock', 'EchoPlus']"
a26,"['Samsung Phone8', 'NewLock', 'Echo']"
a83,"['Samsung Phone8', 'Echo', 'PortableCharger']"
a70,"['Fitbit-5', 'Samsung Phone8', 'NewLock']"
a99,"['Samsung Phone8', 'EchoPlus', 'PortableCharger']"
a65,"['EchoPlus', 'NewLock', 'Samsung Phone9']"
a50,"['Samsung Phone8', 'Echo', 'PortableCharger']"
a38,"['Samsung Phone8', 'Echo', 'EchoPlus']"
a10,"['Samsung Phone8', 'NewLock', 'Fitbit-5']"
a5,"['Samsung Phone8', 'EchoPlus', 'Echo']"
a79,"['Echo', 'NewLock', 'Samsung Phone8']"
a11,"['Samsung Phone8', 'Echo', 'Samsung Phone9']"
a88,"['Samsung Phone8', 'IphoneXR', 'Echo']"
a27,"['Samsung Phone8', 'Echo', 'EchoPlus']"
a98,"['Samsung Phone8', 'NewLock', 'Echo']"
a80,"['Samsung Phone8', 'Echo', 'IphoneXR']"
a96,"['Samsung Phone8', 'Fitbit-5', 'IphoneXR']"
a33,"['Samsung Phone8', 'Echo', 'Samsung Phone3']"
a16,"['Samsung Phone8', 'EchoPlus', 'Fitbit-5']"
a56,"['Samsung Phone8', 'NewLock', 'Echo']"
a86,"['Samsung Phone8', 'EchoPlus', 'FitbitAcc1']"
a87,"['Samsung Phone8', 'NewLock', 'Findster1']"
a54,"['Samsung Phone8', 'Echo', 'EchoPlus']"
a81,"['Samsung Phone8', 'Echo', 'Fitbit-5']"
a6,"['Samsung Phone8', 'IphoneXR', 'Samsung1']"
a84,"['Samsung Phone8', 'Samsung1', 'Echo']"
a62,"['Samsung Phone8', 'EchoPlus', 'NewLock']"
a71,"['EchoPlus', 'Samsung Phone8', 'NewLock']"
a39,"['Samsung Phone8', 'IphoneXR', 'Whistle']"
a67,"['Samsung Phone8', 'PortableCharger', 'EchoPlus']"
a94,"['Samsung Phone8', 'Samsung Phone9', 'Echo']"
a14,"['Samsung Phone8', 'Echo', 'Fitbit-5']"
a74,"['Samsung Phone8', 'EchoPlus', 'NewLock']"
a12,"['Samsung Phone8', 'PortableCharger', 'Samsung1']"
a21,"['Fitbit-5', 'NewLock', 'EchoPlus']"
a37,"['Samsung Phone8', 'Samsung Phone3', 'NewLock']"
a2,"['Samsung Phone8', 'Echo', 'SPlus']"
a73,"['Fitbit-5', 'Samsung Phone8', 'IphoneXR']"
a64,"['Samsung Phone8', 'Echo', 'EchoPlus']"
a45,"['Samsung Phone8', 'EchoPlus', 'Echo']"
a46,"['Samsung Phone8', 'IphoneXR', 'Samsung Phone3']"
a4,"['Samsung Phone8', 'Samsung Phone3', 'EchoPlus']"
a29,"['Samsung Phone8', 'Echo', 'Iphone8Plus1']"
a17,"['NewLock', 'Samsung Phone9', 'Echo']"
a93,"['Samsung Phone8', 'Echo', 'MacBook256Storage']"
a78,"['Samsung Phone8', 'EchoPlus', 'Fitbit-5']"
a85,"['Samsung Phone8', 'SPlus', 'NewLock']"
a8,"['Samsung Phone8', 'Echo', 'Fitbit-5']"
a58,"['Samsung Phone8', 'Echo', 'NewLock']"
a31,"['Samsung Phone8', 'NewLock', 'Fitbit-5']"
a7,"['Samsung Phone8', 'IphoneXR', 'Fitbit-5']"
a32,"['Samsung Phone8', 'Echo', 'NewLock']"
a28,"['Samsung Phone8', 'EchoPlus', 'IphoneXR']"
a0,"['Samsung Phone8', 'Fitbit-5', 'Echo']"
a61,"['NewLock', 'Samsung Phone8', 'Fitbit-5']"
a47,"['Samsung Phone8', 'EchoPlus', 'PortableCharger']"
a68,"['Samsung Phone8', 'NewLock', 'Echo']"
a76,"['Samsung Phone8', 'NewLock', 'EchoPlus']"
a59,"['Samsung Phone8', 'Garmin1', 'SamsungNotebook7512Storage']"
a25,"['Samsung Phone8', 'Fitbit-5', 'EchoPlus']"
a43,"['EchoPlus', 'Samsung Phone8', 'PortableCharger']"
a52,"['Samsung Phone8', 'Echo', 'NewLock']"
a41,"['Samsung Phone8', 'Samsung Phone9', 'IphoneXR']"
a40,"['Samsung Phone8', 'NewLock', 'IphoneXR']"
a89,"['NewLock', 'Samsung Phone8', 'EchoPlus']"
a69,"['Samsung Phone8', 'Samsung Phone9', 'NewLock']"
a82,"['Samsung Phone8', 'Samsung Phone9', 'NewLock']"
a20,"['EchoPlus', 'Fitbit-5', 'Echo']"
a97,"['Echo', 'Samsung Phone8', 'Fitbit-5']"
a49,"['Samsung Phone8', 'Echo', 'IphoneXR']"
a19,"['Samsung Phone8', 'EchoPlus', 'IphoneXR']"
a18,"['Echo', 'NewLock', 'Samsung Phone8']"
a3,"['IphoneXR', 'Echo', 'Samsung Phone8']"
a91,"['NewLock', 'Echo', 'MacBook256Storage']"
a72,"['Samsung Phone8', 'Echo', 'PortableCharger']"
a9,"['Samsung Phone8', 'Echo', 'Whistle']"
a95,"['Samsung Phone8', 'PortableCharger', 'EchoPlus']"
a53,"['Samsung Phone8', 'Echo', 'Whistle']"
a1,"['Samsung Phone8', 'PortableCharger', 'Fitbit-5']"
a36,"['Samsung Phone8', 'Echo', 'Whistle']"
a44,"['Samsung Phone8', 'Fitbit-5', 'Echo']"
a51,"['Samsung Phone8', 'Echo', 'Fitbit-5']"
a55,"['Samsung Phone8', 'Prooftracker1', 'Echo']"
a13,"['Samsung Phone8', 'Samsung Phone3', 'Echo']"
a42,"['EchoPlus', 'NewLock', 'Samsung Phone8']"
a60,"['Samsung Phone8', 'Samsung Phone9', 'Fitbit-5']"
a22,"['Samsung Phone8', 'EchoPlus', 'NewLock']"
a35,"['Samsung Phone8', 'EchoPlus', 'NewLock']"
,"['EchoPlus', 'NewLock', 'Echo']"
aa,"['Samsung Phone8', 'Echo', 'Samsung Phone9']"
jx1,"['EchoPlus', 'Whistle', 'Echo']"
jx3,"['Echo', 'Fitbit-5', 'PortableCharger']"
jx4,"['Echo', 'Samsung Phone9', 'IphoneXR']"
jx5,"['Echo', 'IphoneXR', 'Samsung1']"
